label,controller,delay_frames,ego_speed_kmh,mu,trigger_d,dart_speed_kmh,avoided,collision_with,s_clearance,a_b_mfdd,t_c_warn,dv_speed_var,collision_speed_kmh,peak_decel,brake_distance,min_dist,a_req_at_brake,a_max,is_conflict,result_txt
proposed_enhanced,proposed_enhanced,0,40.0,0.4,35.0,20.0,True,,1.4959658084554226,4.06742200248043,1.5394874871753652,40.0,0.0,3.924000000000003,16.109521865844727,5.170258551979836,3.448934301588219,3.9240000000000004,True,AVOIDED
proposed_enhanced,proposed_enhanced,0,50.0,0.85,20.0,20.0,False,vehicle.ue4.audi.tt,0.0,9.179577207985744,1.0283507624270962,45.69731151052262,4.302688489477385,8.3385,0.0,3.8129846952657265,6.251445427884491,8.3385,True,COLLISION with vehicle.ue4.audi.tt
proposed_enhanced,proposed_enhanced,0,50.0,0.85,25.0,20.0,True,,0.45046258479036094,8.259250118162122,1.2728104921688268,50.0,0.0,8.338500000000018,17.28561782836914,4.124538065949098,5.040610907566165,8.3385,True,AVOIDED
proposed_enhanced,proposed_enhanced,0,50.0,0.85,30.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,0.613945021705189,38.19292828846796,11.807071711532037,8.338500000000018,0.0,3.8331226666580007,10.750528962788541,8.3385,True,COLLISION with vehicle.ue4.audi.tt
proposed_enhanced,proposed_enhanced,0,50.0,0.85,35.0,20.0,True,,1.282818156992799,9.046357090180177,1.0049640659373305,50.0,0.0,8.338500000000018,13.001171112060547,4.95712234429062,6.639201261619354,8.3385,True,AVOIDED
proposed_enhanced,proposed_enhanced,0,50.0,0.4,20.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,1.0283507624270962,30.746068476133473,19.253931523866527,3.9239999999999853,0.0,3.9369491502098666,6.251445427884491,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt
proposed_enhanced,proposed_enhanced,0,50.0,0.4,25.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,1.3761703297458985,38.60154928810512,11.398450711894881,3.924000000000003,0.0,3.835964398498518,4.67326940838413,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt
proposed_enhanced,proposed_enhanced,0,50.0,0.4,30.0,20.0,True,,0.1808096024622179,4.0440465955635485,1.6941838432089535,50.0,0.0,3.924000000000003,23.7681941986084,3.855113789760039,3.810183359053096,3.9240000000000004,True,AVOIDED
proposed_enhanced,proposed_enhanced,0,50.0,0.4,35.0,20.0,True,,2.0878893954489097,3.992029641042854,2.0666893070923535,50.0,0.0,3.924000000000003,27.380596160888672,5.7620563242947656,3.1387611859632183,3.9240000000000004,True,AVOIDED
proposed_enhanced,proposed_enhanced,0,60.0,0.85,20.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,0.8715222210920067,44.84740935167251,15.152590648327486,8.3385,0.0,3.8926817520277406,9.086393451542861,8.3385,True,COLLISION with vehicle.ue4.audi.tt
proposed_enhanced,proposed_enhanced,0,60.0,0.85,25.0,20.0,True,,0.5394924928235163,8.499512357079121,1.1321023594448238,60.0,0.0,8.3385,17.8830509185791,4.213796680121337,6.9582527156196,8.3385,True,AVOIDED
proposed_enhanced,proposed_enhanced,0,60.0,0.85,30.0,20.0,True,,0.9990036265194631,8.958729680127387,1.450181401363242,60.0,0.0,8.3385,23.221839904785156,4.673128729056905,5.434061926855033,8.3385,True,AVOIDED
proposed_enhanced,proposed_enhanced,0,60.0,0.85,35.0,20.0,True,,1.037472034860916,8.210602880240085,1.5297888343786956,60.0,0.0,8.3385,24.8402042388916,4.71160087264355,5.160787367370734,8.3385,True,AVOIDED
proposed_enhanced,proposed_enhanced,0,60.0,0.4,20.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,0.8715222210920067,23.376150649725737,36.62384935027426,3.924000000000021,0.0,4.3061964088081135,9.086393451542861,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt
proposed_enhanced,proposed_enhanced,0,60.0,0.4,25.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,1.1321023594448238,38.97776707012635,21.022232929873656,3.924000000000021,0.0,3.8362488572671705,6.9582527156196,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt
proposed_enhanced,proposed_enhanced,0,60.0,0.4,30.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,1.450181401363242,43.53443631547239,16.465563684527606,3.924000000000021,0.0,3.8265009718336325,5.434061926855033,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt
proposed_enhanced,proposed_enhanced,0,60.0,0.4,35.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,1.7309784479218406,47.513713736220325,12.486286263779679,3.924000000000021,0.0,3.8216030945905084,4.564096871698413,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt
