label,controller,delay_frames,ego_speed_kmh,lead_speed_kmh,mu,headway_thw,headway_d,avoided,collision_with,s_clearance,a_b_mfdd,t_c_warn,dv_speed_var,collision_speed_kmh,peak_decel,brake_distance,min_dist,a_req_at_brake,a_max,is_conflict,result_txt
proposed_enhanced,proposed_enhanced,0,40.0,40.0,0.4,2.0,22.22222222222222,True,,1.2000484481169398,4.155098673313346,11.630982374266992,40.0,0.0,3.924000000000003,22.355558395385742,5.967899323971432,2.3924182958008458,3.9240000000000004,True,AVOIDED
proposed_enhanced,proposed_enhanced,0,40.0,40.0,0.85,2.5,27.77777777777778,True,,0.6533587054483814,7.86983428045411,1.0887917497618929,40.0,0.0,8.338500000000018,11.35385513305664,5.420942542028935,5.072571981346971,8.3385,True,AVOIDED
proposed_enhanced,proposed_enhanced,0,40.0,40.0,0.4,2.5,27.77777777777778,True,,1.050806242676945,3.606014861589962,5.482309516429624,40.0,0.0,3.924000000000003,24.202226638793945,5.818519789248377,2.4035816946748283,3.9240000000000004,True,AVOIDED
proposed_enhanced,proposed_enhanced,0,50.0,50.0,0.85,1.0,13.88888888888889,True,,0.8584386354391338,8.60801632929169,3.86339005375091,50.0,0.0,8.338500000000018,16.95696258544922,5.626121665157446,5.059716746881487,8.3385,True,AVOIDED
proposed_enhanced,proposed_enhanced,0,50.0,50.0,0.4,1.0,13.88888888888889,False,vehicle.ue4.audi.tt,0.0,0.0,12.090469770811548,40.038301899653966,9.961698100346032,3.924000000000003,0.0,4.9100193805634404,3.060013661557994,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt
proposed_enhanced,proposed_enhanced,0,50.0,50.0,0.85,1.5,20.833333333333336,True,,0.939524032805175,7.887537014781814,2.495463597108241,50.0,0.0,8.338500000000018,17.609840393066406,5.707126949843713,5.137411953157986,8.3385,True,AVOIDED
proposed_enhanced,proposed_enhanced,0,50.0,50.0,0.4,1.5,20.833333333333336,True,,1.7210312476202283,4.043936227498041,20.88953445192476,50.0,0.0,3.924000000000003,25.797504425048828,6.4888821234747205,2.5044600698531863,3.9240000000000004,True,AVOIDED
proposed_enhanced,proposed_enhanced,0,50.0,50.0,0.85,2.0,27.77777777777778,True,,0.9800932926783519,7.887537014781814,1.8750877715917242,50.0,0.0,8.3385,17.609840393066406,5.747696210048844,5.119825793862402,8.3385,True,AVOIDED
proposed_enhanced,proposed_enhanced,0,50.0,50.0,0.4,2.0,27.77777777777778,True,,2.244193507871845,4.044263242493696,20.24694054632457,50.0,0.0,3.924000000000003,31.530807495117188,7.012044383726337,2.4338772825315904,3.9240000000000004,True,AVOIDED
proposed_enhanced,proposed_enhanced,0,50.0,50.0,0.85,2.5,34.72222222222222,True,,0.7049213427061334,7.556610402705241,1.4922864416326875,50.0,0.0,8.338500000000018,17.930797576904297,5.472596742713541,5.106136741608403,8.3385,True,AVOIDED
proposed_enhanced,proposed_enhanced,0,50.0,50.0,0.4,2.5,34.72222222222222,True,,1.5802311819736818,3.8292706230436453,13.06381489978681,50.0,0.0,3.924000000000003,37.07072448730469,6.347948549448973,2.401690740866674,3.9240000000000004,True,AVOIDED
proposed_enhanced,proposed_enhanced,0,60.0,60.0,0.85,1.0,16.666666666666668,True,,1.133745196783174,8.853525974925764,5.014598163561872,60.0,0.0,8.3385,24.04142189025879,5.901424411260809,5.170435827998376,8.3385,True,AVOIDED
proposed_enhanced,proposed_enhanced,0,60.0,60.0,0.4,1.0,16.666666666666668,False,vehicle.ue4.audi.tt,0.0,0.0,15.172868847843377,47.336875595064356,12.663124404935644,3.924000000000021,0.0,4.914605376059551,3.158024112356161,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt
