label,controller,delay_frames,ego_speed_kmh,mu,trigger_d,dart_speed_kmh,avoided,collision_with,s_clearance,a_b_mfdd,t_c_warn,dv_speed_var,collision_speed_kmh,peak_decel,brake_distance,min_dist,a_req_at_brake,a_max,is_conflict,result_txt,noise_sigma_m,noise_sigma_vr,dropout_p,dropout_mode,test_mode,seed
baseline_nm0.5,baseline,0,30.0,0.85,25.0,20.0,True,,1.8318891665413757,4.6653112661767375,1.1535649608842213,30.0,0.0,8.3385,8.34033203125,5.506193353839197,3.3316057713605907,8.3385,True,AVOIDED,0.5,0.0,0.0,freeze,noise,12960011
baseline_nm0.5,baseline,0,30.0,0.85,30.0,20.0,True,,4.348245592570525,3.5026830244113984,1.6745319319851621,30.0,0.0,3.335400049701338,9.959476470947266,8.022549779868346,2.387402356463033,8.3385,True,AVOIDED,0.5,0.0,0.0,freeze,noise,12960012
baseline_nm0.5,baseline,0,30.0,0.85,35.0,20.0,True,,3.521058930763698,3.502606003856629,1.630721058676956,30.0,0.0,3.335400049701338,9.959854125976562,7.195363118061519,2.536840287043845,8.3385,True,AVOIDED,0.5,0.0,0.0,freeze,noise,12960013
baseline_nm0.5,baseline,0,30.0,0.85,40.0,20.0,True,,3.105623532213931,3.501718372541213,1.5791096647943068,30.0,0.0,3.335400049701338,9.961444854736328,6.779927719511752,2.6176881040457913,8.3385,True,AVOIDED,0.5,0.0,0.0,freeze,noise,12960014
baseline_nm0.5,baseline,0,30.0,0.4,20.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,1.587975167140971,24.63102898449902,5.3689710155009776,3.924000000000003,0.0,3.8101861042736167,2.2036449020803137,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt,0.5,0.0,0.0,freeze,noise,12960015
baseline_nm0.5,baseline,0,30.0,0.4,25.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,1.1524483666416514,22.288339529190758,7.711660470809241,3.924000000000003,0.0,3.8208499496696113,3.3316693273856473,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt,0.5,0.0,0.0,freeze,noise,12960016
baseline_nm0.5,baseline,0,30.0,0.4,30.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,1.6376998921106063,25.52469937291262,4.47530062708738,3.924000000000003,0.0,3.8168473806848593,2.4606369855749106,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt,0.5,0.0,0.0,freeze,noise,12960017
baseline_nm0.5,baseline,0,30.0,0.4,35.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,1.6290273598686038,23.5348893400699,6.465110659930101,3.924000000000003,0.0,3.820349269873495,2.53686559470056,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt,0.5,0.0,0.0,freeze,noise,12960018
baseline_nm0.5,baseline,0,30.0,0.4,40.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,1.5306365453005986,23.64662371446603,6.353376285533968,3.924000000000003,0.0,3.8193106548426594,2.7027411662969474,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt,0.5,0.0,0.0,freeze,noise,12960019
baseline_nm0.5,baseline,0,40.0,0.85,20.0,20.0,True,,2.1383387250075208,7.468271178052576,1.2511492783422866,40.0,0.0,8.3385,11.60250473022461,5.812642912305342,3.961490876976411,8.3385,True,AVOIDED,0.5,0.0,0.0,freeze,noise,12960020
