label,controller,delay_frames,ego_speed_kmh,mu,trigger_d,dart_speed_kmh,avoided,collision_with,s_clearance,a_b_mfdd,t_c_warn,dv_speed_var,collision_speed_kmh,peak_decel,brake_distance,min_dist,a_req_at_brake,a_max,is_conflict,result_txt,noise_sigma_m,noise_sigma_vr,dropout_p,dropout_mode,test_mode,seed,comp_source,comp_L_frames
proposed_enhanced_d4f,proposed_enhanced,4,30.0,0.4,25.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,0.9958098029143205,25.181644783055923,4.818355216944077,3.924000000000003,0.0,3.816599963385636,4.011785511957171,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt,0.0,0.0,0.0,freeze,latency_comp,21420016,oracle,4
proposed_enhanced_d4f,proposed_enhanced,4,30.0,0.4,30.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,1.5306356238718701,25.426313929452913,4.573686070547087,3.924000000000003,0.0,3.813415899975681,2.702742794610904,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt,0.0,0.0,0.0,freeze,latency_comp,21420017,oracle,4
proposed_enhanced_d4f,proposed_enhanced,4,30.0,0.4,35.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,1.5290434514754159,25.430162463781922,4.5698375362180785,3.924000000000003,0.0,3.8135501128451574,2.7027740850486635,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt,0.0,0.0,0.0,freeze,latency_comp,21420018,oracle,4
proposed_enhanced_d4f,proposed_enhanced,4,30.0,0.4,40.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,1.5306365453005986,25.426305526704887,4.573694473295114,3.924000000000003,0.0,3.813419636842412,2.7027411662969474,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt,0.0,0.0,0.0,freeze,latency_comp,21420019,oracle,4
proposed_enhanced_d4f,proposed_enhanced,4,40.0,0.85,20.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,0.0,17.223627377098477,22.776372622901523,0.0,0.0,3.882782771204341,0.0,8.3385,True,COLLISION with vehicle.ue4.audi.tt,0.0,0.0,0.0,freeze,latency_comp,21420020,oracle,4
proposed_enhanced_d4f,proposed_enhanced,4,40.0,0.85,25.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,0.4314534600304656,28.50641204651218,11.493587953487818,8.338500000000018,0.0,3.833313468780505,12.376621174100213,8.3385,True,COLLISION with vehicle.ue4.audi.tt,0.0,0.0,0.0,freeze,latency_comp,21420021,oracle,4
proposed_enhanced_d4f,proposed_enhanced,4,40.0,0.85,30.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,0.8744985452733318,30.649005365980596,9.350994634019404,8.338500000000018,0.0,3.8194451230705577,6.164842930542527,8.3385,True,COLLISION with vehicle.ue4.audi.tt,0.0,0.0,0.0,freeze,latency_comp,21420022,oracle,4
proposed_enhanced_d4f,proposed_enhanced,4,40.0,0.85,35.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,0.8935940383885911,30.634964674094043,9.365035325905955,8.338500000000018,0.0,3.8208102961668335,6.169346583504797,8.3385,True,COLLISION with vehicle.ue4.audi.tt,0.0,0.0,0.0,freeze,latency_comp,21420023,oracle,4
proposed_enhanced_d4f,proposed_enhanced,4,40.0,0.85,40.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,0.8936572448973475,30.649026301412675,9.350973698587326,8.338500000000018,0.0,3.8194412018793202,6.1696059422910565,8.3385,True,COLLISION with vehicle.ue4.audi.tt,0.0,0.0,0.0,freeze,latency_comp,21420024,oracle,4
proposed_enhanced_d4f,proposed_enhanced,4,40.0,0.4,20.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,1.046964954574268,29.402615634387985,10.597384365612015,3.924000000000003,0.0,3.824436355858704,4.717663290954602,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt,0.0,0.0,0.0,freeze,latency_comp,21420025,oracle,4
proposed_enhanced_d4f,proposed_enhanced,4,40.0,0.4,25.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,1.4817608612526953,33.496190833817025,6.503809166182974,3.924000000000003,0.0,3.8196483064313367,3.3682021659632118,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt,0.0,0.0,0.0,freeze,latency_comp,21420026,oracle,4
